Id;Date;Heure;S02;NO2;O3
938;28/09/2018;10;2;58;35
939;28/09/2018;11;2;43;41
940;28/09/2018;12;2;35;52
941;28/09/2018;13;1;35;64
942;28/09/2018;14;2;32;77
943;28/09/2018;15;2;30;67
944;28/09/2018;16;2;29;58
945;28/09/2018;17;2;31;53
946;28/09/2018;18;1;32;49
947;28/09/2018;19;2;29;50
948;28/09/2018;20;1;31;45
949;28/09/2018;21;2;29;44
950;28/09/2018;22;1;25;44
951;28/09/2018;23;1;23;43
952;28/09/2018;24;1;20;46
953;29/09/2018;1;1;16;47
954;29/09/2018;2;1;15;47
955;29/09/2018;3;1;14;46
956;29/09/2018;4;1;14;47
957;29/09/2018;5;1;16;42
958;29/09/2018;6;1;18;41
959;29/09/2018;7;1;21;39
960;29/09/2018;8;1;17;46
961;29/09/2018;9;1;16;49
962;29/09/2018;10;1;14;55
963;29/09/2018;11;1;12;60
964;29/09/2018;12;1;10;65
965;29/09/2018;13;1;11;66
966;29/09/2018;14;2;15;68
967;29/09/2018;15;2;13;72
968;29/09/2018;16;1;14;70
969;29/09/2018;17;1;18;69
970;29/09/2018;18;1;18;67
971;29/09/2018;19;1;27;57
972;29/09/2018;20;1;11;70
973;29/09/2018;21;1;5;74
974;29/09/2018;22;1;6;75
975;29/09/2018;23;2;12;67
976;29/09/2018;24;2;21;51
977;30/09/2018;1;2;13;57
978;30/09/2018;2;2;10;61
979;30/09/2018;3;2;8;66
980;30/09/2018;4;2;7;67
981;30/09/2018;5;2;8;65
982;30/09/2018;6;2;7;64
983;30/09/2018;7;2;10;58
984;30/09/2018;8;3;10;61
985;30/09/2018;9;3;28;36
986;30/09/2018;10;3;29;35
987;30/09/2018;11;3;23;44
988;30/09/2018;12;3;17;57
989;30/09/2018;13;3;15;60
990;30/09/2018;14;4;13;64
991;30/09/2018;15;4;12;71
992;30/09/2018;16;3;12;74
993;30/09/2018;17;3;11;83
994;30/09/2018;18;3;10;86
995;30/09/2018;19;3;9;83
996;30/09/2018;20;3;10;84
997;30/09/2018;21;3;8;85
998;30/09/2018;22;3;8;81
999;30/09/2018;23;1;10;74
1000;30/09/2018;24;2;8;73
