nodeId,timeUtc,aqi,pm1MassConc[ug/m3],pm2_5MassConc[ug/m3],pm10MassConc[ug/m3],no2Conc[ppb],temperature[degC],relHumidity[%],latitude,longitude
AQB2MV40,2018-08-13T10:35:00.000Z,3,,0.7058823704719543,,0,25.51537322998047,46.095977783203125,48.838565,2.412767
AMZZDR73,2018-08-13T10:39:00.000Z,4,,1,,4.011251926422119,27.889297485351562,40.7934684753418,48.838565,2.412767
AM2JQ85L,2018-08-13T10:43:00.000Z,1,,0.3023255467414856,,0,27.857254028320312,40.90943908691406,48.838565,2.412767
AQB2MV40,2018-08-13T10:51:00.000Z,1,,0.23529411852359772,,0,25.488670349121094,45.590904235839844,48.838565,2.412767
AMZZDR73,2018-08-13T10:56:00.000Z,1,,0.29411765933036804,,0,27.873275756835938,39.99237060546875,48.838565,2.412767
AQB2MV40,2018-08-13T11:08:00.000Z,9,,0.7058823704719543,,9.207979202270508,24.783706665039062,48.84260177612305,48.838565,2.412767
AMZZDR73,2018-08-13T11:13:00.000Z,10,,0.529411792755127,,10.842621803283691,26.169601440429688,45.08735656738281,48.838565,2.412767
AM2JQ85L,2018-08-13T11:19:00.000Z,1,,0.3023255467414856,,0,26.303123474121094,44.92408752441406,48.838565,2.412767
AQB2MV40,2018-08-13T11:25:00.000Z,2,,0.47058823704719543,,0,24.503318786621094,49.25459671020508,48.838565,2.412767
AMZZDR73,2018-08-13T11:30:00.000Z,4,,0.9411764740943909,,3.8605947494506836,25.998703002929688,44.88594055175781,48.838565,2.412767
AM2JQ85L,2018-08-13T11:36:00.000Z,6,,0.4651162624359131,,6.073459625244141,26.41527557373047,43.761348724365234,48.838565,2.412767
AQB2MV40,2018-08-13T11:42:00.000Z,3,,0.7647058963775635,,2.7059988975524902,24.770355224609375,48.62287139892578,48.838565,2.412767
AMZZDR73,2018-08-13T11:47:00.000Z,2,,0.47058823704719543,,0,28.241775512695312,39.14091873168945,48.838565,2.412767
AM2JQ85L,2018-08-13T11:53:00.000Z,0,,0.06976743787527084,,0.10043145716190338,28.66368865966797,38.69840621948242,48.838565,2.412767
AQB2MV40,2018-08-13T11:59:00.000Z,1,,0.29411765933036804,,0.31277745962142944,25.304420471191406,45.984588623046875,48.838565,2.412767
AMZZDR73,2018-08-13T12:04:00.000Z,1,,0.23529411852359772,,0,28.129623413085938,39.795528411865234,48.838565,2.412767
AM2JQ85L,2018-08-13T12:11:00.000Z,0,,0,,0,28.156326293945312,40.305179595947266,48.838565,2.412767
AQB2MV40,2018-08-13T12:16:00.000Z,1,,0.23529411852359772,,1.1658068895339966,25.178909301757812,47.08934020996094,48.838565,2.412767
AMZZDR73,2018-08-13T12:21:00.000Z,3,,0,,3.4509952068328857,27.72106170654297,41.532005310058594,48.838565,2.412767
AM2JQ85L,2018-08-13T12:28:00.000Z,1,,0.06976743787527084,,0.6765908598899841,28.594261169433594,39.10581970214844,48.838565,2.412767
AQB2MV40,2018-08-13T12:33:00.000Z,3,,0.23529411852359772,,2.9571688175201416,25.50202178955078,46.387428283691406,48.838565,2.412767
AMZZDR73,2018-08-13T12:38:00.000Z,3,,0.529411792755127,,3.267381429672241,28.48210906982422,38.82047653198242,48.838565,2.412767
AM2JQ85L,2018-08-13T12:46:00.000Z,3,,0,,2.822652578353882,29.002822875976562,37.84695053100586,48.838565,2.412767
AQB2MV40,2018-08-13T12:50:00.000Z,8,,0.47058823704719543,,8.027955055236816,25.841156005859375,45.416954040527344,48.838565,2.412767
AMZZDR73,2018-08-13T12:55:00.000Z,1,,0.23529411852359772,,0.1600734442472458,29.01617431640625,37.35103225708008,48.838565,2.412767
AM2JQ85L,2018-08-13T13:03:00.000Z,0,,0.06976743787527084,,0,29.750518798828125,35.60540008544922,48.838565,2.412767
AQB2MV40,2018-08-13T13:06:00.000Z,1,,0.23529411852359772,,0,26.108184814453125,43.710994720458984,48.838565,2.412767
AMZZDR73,2018-08-13T13:12:00.000Z,0,,0,,0,29.341957092285156,35.651180267333984,48.838565,2.412767
AM2JQ85L,2018-08-13T13:20:00.000Z,2,,0.06976743787527084,,1.850053071975708,30.062942504882812,34.563209533691406,48.838565,2.412767
AQB2MV40,2018-08-13T13:23:00.000Z,1,,0.23529411852359772,,0.6018596291542053,26.236358642578125,42.35446548461914,48.838565,2.412767
AMZZDR73,2018-08-13T13:29:00.000Z,0,,0,,0,31.034942626953125,31.989013671875,48.838565,2.412767
AM2JQ85L,2018-08-13T13:38:00.000Z,0,,0,,0,31.36339569091797,31.09788703918457,48.838565,2.412767
AQB2MV40,2018-08-13T13:40:00.000Z,4,,0.23529411852359772,,4.6964006423950195,26.546119689941406,41.921112060546875,48.838565,2.412767
AMZZDR73,2018-08-13T13:46:00.000Z,0,,0,,0.249526247382164,31.838714599609375,30.905622482299805,48.838565,2.412767
AM2JQ85L,2018-08-13T13:55:00.000Z,0,,0,,0,32.567710876464844,30.154878616333008,48.838565,2.412767
AQB2MV40,2018-08-13T13:57:00.000Z,2,,0.47058823704719543,,0,27.33386993408203,39.50713348388672,48.838565,2.412767
AMZZDR73,2018-08-13T14:03:00.000Z,6,,0,,6.0215864181518555,31.37407684326172,30.836957931518555,48.838565,2.412767
AM2JQ85L,2018-08-13T14:13:00.000Z,0,,0,,0,30.447471618652344,33.03730773925781,48.838565,2.412767
AQB2MV40,2018-08-13T14:14:00.000Z,3,,0,,3.00455904006958,26.842529296875,41.17952346801758,48.838565,2.412767
AMZZDR73,2018-08-13T14:20:00.000Z,11,,0,,11.62415599822998,30.329978942871094,33.27687454223633,48.838565,2.412767
